Archivo,Etiqueta_REAL,Prediccion_ESP32,Detalle_Completo
im01.jpg,Desecho_115,Desecho_115: 0.1719 | Desecho_140: 0.8281 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.1719
Desecho_140: 0.8281
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0101.jpg,Desecho_115,Desecho_115: 0.7578 | Desecho_140: 0.2422 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.7578
Desecho_140: 0.2422
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0103.jpg,Desecho_115,Desecho_115: 0.5703 | Desecho_140: 0.4297 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.5703
Desecho_140: 0.4297
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0105.jpg,Desecho_115,Desecho_115: 0.7578 | Desecho_140: 0.2422 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.7578
Desecho_140: 0.2422
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0107.jpg,Desecho_115,Desecho_115: 0.8047 | Desecho_140: 0.1953 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.8047
Desecho_140: 0.1953
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0109.jpg,Desecho_115,Desecho_115: 0.1719 | Desecho_140: 0.8281 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.1719
Desecho_140: 0.8281
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im011.jpg,Desecho_115,Desecho_115: 0.7305 | Desecho_140: 0.2695 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.7305
Desecho_140: 0.2695
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0111.jpg,Desecho_115,Desecho_115: 0.2695 | Desecho_140: 0.7305 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.2695
Desecho_140: 0.7305
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0113.jpg,Desecho_115,Desecho_115: 0.3633 | Desecho_140: 0.6367 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.3633
Desecho_140: 0.6367
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0115.jpg,Desecho_115,Desecho_115: 0.9375 | Desecho_140: 0.0625 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.9375
Desecho_140: 0.0625
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0117.jpg,Desecho_115,Desecho_115: 0.5352 | Desecho_140: 0.4648 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.5352
Desecho_140: 0.4648
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0119.jpg,Desecho_115,Desecho_115: 0.8047 | Desecho_140: 0.1953 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.8047
Desecho_140: 0.1953
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0121.jpg,Desecho_115,Desecho_115: 0.9453 | Desecho_140: 0.0547 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.9453
Desecho_140: 0.0547
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0123.jpg,Desecho_115,Desecho_115: 0.6055 | Desecho_140: 0.3945 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.6055
Desecho_140: 0.3945
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0125.jpg,Desecho_115,Desecho_115: 0.6055 | Desecho_140: 0.3945 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.6055
Desecho_140: 0.3945
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0127.jpg,Desecho_115,Desecho_115: 0.7812 | Desecho_140: 0.2187 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.7812
Desecho_140: 0.2187
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0129.jpg,Desecho_115,Desecho_115: 0.2422 | Desecho_140: 0.7578 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.2422
Desecho_140: 0.7578
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im013.jpg,Desecho_115,Desecho_115: 0.3945 | Desecho_140: 0.6055 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.3945
Desecho_140: 0.6055
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0131.jpg,Desecho_115,Desecho_115: 0.6680 | Desecho_140: 0.3281 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.6680
Desecho_140: 0.3281
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0133.jpg,Desecho_115,Desecho_115: 0.3281 | Desecho_140: 0.6719 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.3281
Desecho_140: 0.6719
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0135.jpg,Desecho_115,Desecho_115: 0.2422 | Desecho_140: 0.7578 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.2422
Desecho_140: 0.7578
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
im0137.jpg,Desecho_115,Desecho_115: 0.4648 | Desecho_140: 0.5352 | Desecho_165: 0.0000 | Desecho_200: 0.0000 | Desecho_75: 0.0000 | Desecho_95: 0.0000 | ,"Desecho_115: 0.4648
Desecho_140: 0.5352
Desecho_165: 0.0000
Desecho_200: 0.0000
Desecho_75: 0.0000
Desecho_95: 0.0000
"
